date,mall_name,region,visitors,sales_clothing,sales_restaurants,sales_cosmetics,sales_electronics
19/02/2009,Mall C,South,1782,61093,13674,34420,57393
21/02/2009,Mall A,Center,1161,41042,75844,15357,18726
21/02/2009,Mall B,North,1067,141254,65614,28472,29188
21/02/2009,Mall C,South,1476,46296,10544,11083,57073
23/02/2009,Mall A,Center,1796,36436,62603,28797,64794
23/02/2009,Mall B,North,1196,129335,11988,48622,49855
23/02/2009,Mall C,South,1710,68438,64157,36711,16533
25/02/2009,Mall A,Center,658,139514,29305,12204,36671
25/02/2009,Mall B,North,1237,79911,17871,19088,45336
25/02/2009,Mall C,South,944,33322,46461,31839,33561
26/02/2009,Mall A,Center,1396,33947,47897,15055,65221
26/02/2009,Mall B,North,1742,42333,71191,43524,29623
26/02/2009,Mall C,South,1972,105856,32763,6470,52036
27/02/2009,Mall A,Center,846,104830,63182,40705,50880
27/02/2009,Mall B,North,943,113533,18433,8974,12828
27/02/2009,Mall C,South,1376,45963,73846,7733,64712
01/03/2009,Mall A,Center,714,97134,40812,13085,20092
01/03/2009,Mall B,North,1429,129560,67712,45296,13863
01/03/2009,Mall C,South,1485,100487,11479,5762,67924
02/03/2009,Mall A,Center,571,126417,49106,20559,16767
02/03/2009,Mall B,North,1382,107607,57793,6725,66389
02/03/2009,Mall C,South,540,74406,48925,32327,59444
03/03/2009,Mall A,Center,1472,120537,35668,24753,18640
03/03/2009,Mall B,North,1612,76746,22251,18694,47017
03/03/2009,Mall C,South,799,48979,43227,43279,62124
04/03/2009,Mall A,Center,1691,39797,53025,45405,21339
04/03/2009,Mall B,North,645,64118,71326,7723,40513
04/03/2009,Mall C,South,595,30392,50395,18314,52851
05/03/2009,Mall A,Center,798,34805,69721,17255,31475
05/03/2009,Mall B,North,502,136082,28408,28226,55626
05/03/2009,Mall C,South,1951,104813,65300,11963,51688
06/03/2009,Mall A,Center,1616,76408,36922,11752,63572
06/03/2009,Mall B,North,882,91832,50822,34852,63473
06/03/2009,Mall C,South,970,134573,76996,19155,28133
07/03/2009,Mall A,Center,974,115831,25804,45485,31073
07/03/2009,Mall B,North,1300,88557,35666,16530,38689
07/03/2009,Mall C,South,636,31954,26470,41110,65097
08/03/2009,Mall A,Center,1496,137123,18429,12219,39418
08/03/2009,Mall B,North,1305,88227,13056,22516,67430
08/03/2009,Mall C,South,897,68468,10462,27283,26829
09/03/2009,Mall A,Center,1012,149190,62508,31591,50210
09/03/2009,Mall B,North,524,68899,22463,41046,26435
09/03/2009,Mall C,South,1764,149121,12876,18602,56643
11/03/2009,Mall A,Center,783,107206,50873,12471,37287
11/03/2009,Mall B,North,1422,86809,60206,11503,29468
11/03/2009,Mall C,South,568,46804,36089,40397,11112
12/03/2009,Mall A,Center,1211,148120,45623,8066,43561
12/03/2009,Mall B,North,858,43521,60034,32542,50946
12/03/2009,Mall C,South,1796,148822,75658,31506,33881
13/03/2009,Mall A,Center,579,55818,76413,47055,41205
13/03/2009,Mall B,North,784,69895,36931,40103,42335
13/03/2009,Mall C,South,891,98780,15006,43683,33243
14/03/2009,Mall A,Center,1610,51753,44047,22262,57997
14/03/2009,Mall B,North,1935,122541,56741,24194,16954
14/03/2009,Mall C,South,1720,125327,30458,41278,55076
15/03/2009,Mall A,Center,597,45970,60226,33417,40005
15/03/2009,Mall B,North,1961,115684,35842,32276,52799
15/03/2009,Mall C,South,554,64351,42848,41965,31623
16/03/2009,Mall A,Center,540,143122,64402,31870,67394
16/03/2009,Mall B,North,1282,39059,57488,28886,67409
16/03/2009,Mall C,South,500,27103,38826,15223,37692
17/03/2009,Mall A,Center,1512,101232,52927,31249,11211
17/03/2009,Mall B,North,843,52509,73705,45754,36885
17/03/2009,Mall C,South,1743,68017,78769,7639,42307
18/03/2009,Mall A,Center,1326,64968,18783,45611,35815
18/03/2009,Mall B,North,1244,112427,52763,34690,49347
18/03/2009,Mall C,South,966,55067,16137,41434,18570
19/03/2009,Mall A,Center,1151,121411,23207,26201,56878
19/03/2009,Mall B,North,1538,112373,56031,13771,25586
19/03/2009,Mall C,South,1670,120915,57551,46527,66203
20/03/2009,Mall A,Center,1862,86426,16463,26031,60224
20/03/2009,Mall B,North,1628,45501,38353,11708,44796
20/03/2009,Mall C,South,1474,33670,51489,12778,14840
21/03/2009,Mall A,Center,1162,115787,78080,17617,68185
21/03/2009,Mall B,North,1849,110548,47772,26771,68988
21/03/2009,Mall C,South,739,104563,44823,43210,64260
22/03/2009,Mall A,Center,1686,82616,33631,35341,63076
22/03/2009,Mall B,North,625,133673,51327,27083,58620
22/03/2009,Mall C,South,1283,85973,12109,33953,40511
23/03/2009,Mall A,Center,1817,90335,42233,28354,23117
23/03/2009,Mall B,North,771,95170,16549,33597,34257
23/03/2009,Mall C,South,1386,117786,48746,22916,42662
24/03/2009,Mall A,Center,1990,107639,36426,17271,58039
24/03/2009,Mall B,North,1727,83688,75874,41898,15253
24/03/2009,Mall C,South,1065,45398,24006,16704,48749
25/03/2009,Mall A,Center,1177,73677,75738,45546,21158
25/03/2009,Mall B,North,1481,69014,37175,42181,37178
25/03/2009,Mall C,South,994,51820,77901,49964,62268
26/03/2009,Mall A,Center,1825,114287,67321,46432,37448
26/03/2009,Mall B,North,1453,137257,16108,20552,69115
26/03/2009,Mall C,South,1191,104339,16328,36726,58266
27/03/2009,Mall A,Center,534,36748,74554,31368,30378
27/03/2009,Mall B,North,910,73926,24742,10657,35887
27/03/2009,Mall C,South,1446,108063,24475,31685,24609
28/03/2009,Mall A,Center,1092,32528,60101,35175,49769
28/03/2009,Mall B,North,1144,132046,36911,23601,22996
28/03/2009,Mall C,South,825,37138,54503,27267,61308
29/03/2009,Mall A,Center,1359,125996,79174,41424,57340
29/03/2009,Mall B,North,839,81380,72553,13911,69169
29/03/2009,Mall C,South,1601,142327,54011,21648,49147
30/03/2009,Mall A,Center,877,30490,50707,20754,42511
30/03/2009,Mall B,North,1297,50542,48031,22970,42405
30/03/2009,Mall C,South,1434,92483,49168,16398,55663
31/03/2009,Mall A,Center,1196,99287,32792,47008,31283
31/03/2009,Mall B,North,1064,54943,41534,22949,56491
31/03/2009,Mall C,South,1206,29320,69749,36488,46425
01/04/2009,Mall A,Center,901,114750,60177,24099,26367
01/04/2009,Mall B,North,1652,115360,11079,15435,31834
01/04/2009,Mall C,South,622,72317,78554,26363,61149
02/04/2009,Mall A,Center,847,87128,29204,18279,58387
02/04/2009,Mall B,North,1837,127069,21680,49868,25891
02/04/2009,Mall C,South,1834,86270,69163,39061,48996
03/04/2009,Mall A,Center,955,119952,21065,40712,10760
03/04/2009,Mall B,North,1014,76566,23886,21852,32977
03/04/2009,Mall C,South,1036,66371,31184,21362,54063
04/04/2009,Mall A,Center,1183,83169,76402,9494,39525
04/04/2009,Mall B,North,1604,127263,33409,29596,51395
04/04/2009,Mall C,South,1712,47169,19580,42520,64712
05/04/2009,Mall A,Center,1713,119991,51362,13557,17169
05/04/2009,Mall B,North,1981,112609,73423,10126,52018
05/04/2009,Mall C,South,1132,113923,77900,25050,13795
07/04/2009,Mall A,Center,995,42311,71930,47669,16918
07/04/2009,Mall B,North,781,113168,23428,21952,63857
07/04/2009,Mall C,South,1216,113042,46949,46022,28863
08/04/2009,Mall A,Center,1159,149155,60469,37434,14294
08/04/2009,Mall B,North,1308,118535,69606,17510,21492
08/04/2009,Mall C,South,1913,61504,27860,39046,26420
09/04/2009,Mall A,Center,1957,148902,51230,21292,37277
09/04/2009,Mall B,North,1389,149141,49794,23503,28144
09/04/2009,Mall C,South,1567,85878,62104,36557,45368
10/04/2009,Mall A,Center,1691,89086,57341,32776,61651
10/04/2009,Mall B,North,1241,71954,60582,38041,12344
10/04/2009,Mall C,South,878,58899,45246,36047,23754
11/04/2009,Mall A,Center,1417,43515,74504,29670,36174
11/04/2009,Mall B,North,1987,62466,59234,33340,23260
11/04/2009,Mall C,South,749,69237,27184,15694,67325
12/04/2009,Mall A,Center,785,55813,34636,28237,19195
12/04/2009,Mall B,North,507,132071,68964,39827,66312
12/04/2009,Mall C,South,1756,86298,24973,36199,21721
13/04/2009,Mall A,Center,902,96446,40262,24633,64272
13/04/2009,Mall B,North,659,48912,56239,41543,56702
13/04/2009,Mall C,South,1653,83412,65553,7968,45477
14/04/2009,Mall A,Center,974,42085,19706,36113,59082
14/04/2009,Mall B,North,1149,139839,66888,36840,61583
14/04/2009,Mall C,South,1551,110013,62418,34625,31744
15/04/2009,Mall A,Center,1548,93999,21092,44846,27942
15/04/2009,Mall B,North,670,130051,16352,48959,13628
15/04/2009,Mall C,South,838,142386,25448,11993,10882
16/04/2009,Mall A,Center,1870,55939,49074,9372,19831
16/04/2009,Mall B,North,771,29858,42074,29082,21148
16/04/2009,Mall C,South,1229,39083,33116,38261,66203
17/04/2009,Mall A,Center,843,102832,45408,43435,50703
17/04/2009,Mall B,North,1149,94295,56157,16195,24935
17/04/2009,Mall C,South,1249,62745,15672,13564,10180
18/04/2009,Mall A,Center,1665,93545,32096,9959,65260
18/04/2009,Mall B,North,1332,64101,45997,47111,44119
18/04/2009,Mall C,South,1460,110889,32163,29875,68870
19/04/2009,Mall A,Center,1837,109533,72485,27735,59060
19/04/2009,Mall B,North,1677,149970,55437,5672,63252
19/04/2009,Mall C,South,541,145602,27793,26946,30238
20/04/2009,Mall A,Center,836,37609,57695,20712,38234
20/04/2009,Mall B,North,1155,25343,62444,12911,66057
20/04/2009,Mall C,South,1003,103123,40784,14900,47479
21/04/2009,Mall A,Center,760,54585,17540,48541,54986
21/04/2009,Mall B,North,609,101360,14498,41320,63146
21/04/2009,Mall C,South,1315,65607,21020,43024,34886
22/04/2009,Mall A,Center,1459,39899,50227,12337,13750
22/04/2009,Mall B,North,1678,88655,41564,13825,49582
22/04/2009,Mall C,South,1894,85633,18294,8607,10857
23/04/2009,Mall A,Center,1625,61654,42183,31331,61288
23/04/2009,Mall B,North,1426,88040,26343,38036,69034
23/04/2009,Mall C,South,2000,35854,47297,45391,35122
24/04/2009,Mall A,Center,1654,42410,23354,15225,55225
24/04/2009,Mall B,North,762,120320,47558,27834,19536
24/04/2009,Mall C,South,1235,99273,49448,46627,65121
25/04/2009,Mall A,Center,1974,102200,22846,40539,29752
25/04/2009,Mall B,North,1633,94307,47242,17816,28419
25/04/2009,Mall C,South,731,115349,72743,13872,15865
26/04/2009,Mall A,Center,1064,82152,18871,14107,45705
26/04/2009,Mall B,North,1491,98239,35077,17115,23188
26/04/2009,Mall C,South,1704,131604,44055,42979,34989
28/04/2009,Mall A,Center,1997,37149,63023,20024,65615
28/04/2009,Mall B,North,1725,48982,78242,11430,15567
28/04/2009,Mall C,South,975,117193,60575,27275,14407
30/04/2009,Mall A,Center,1457,77766,40018,36813,60773
30/04/2009,Mall B,North,994,108618,31584,46270,45232
30/04/2009,Mall C,South,1823,39676,40514,16349,67523
01/05/2009,Mall A,Center,746,45125,33482,14104,29631
01/05/2009,Mall B,North,1711,119025,30764,34785,29768
01/05/2009,Mall C,South,834,54145,17353,5141,54084
02/05/2009,Mall A,Center,640,113560,17375,15341,13199
02/05/2009,Mall B,North,1116,72037,40823,13338,44689
02/05/2009,Mall C,South,1571,146320,76866,23262,16414
03/05/2009,Mall A,Center,605,134310,65771,42933,31037
03/05/2009,Mall B,North,1048,39843,74644,37112,35327
03/05/2009,Mall C,South,558,129248,45746,9233,59980
04/05/2009,Mall A,Center,959,95734,54756,47205,20151
04/05/2009,Mall B,North,710,116203,28784,40987,34962
04/05/2009,Mall C,South,1124,95004,22303,37661,40438
05/05/2009,Mall A,Center,1754,137151,66172,47972,14874
05/05/2009,Mall B,North,1859,122986,32757,31252,52580
05/05/2009,Mall C,South,595,95469,60912,16417,30591
06/05/2009,Mall A,Center,1116,98475,25618,41557,44369
06/05/2009,Mall B,North,1824,55333,29270,47000,58542
06/05/2009,Mall C,South,1954,149167,50607,11824,17529
07/05/2009,Mall A,Center,1568,29715,72291,19580,17479
07/05/2009,Mall B,North,1067,71230,37765,41822,49663
07/05/2009,Mall C,South,1395,118137,54114,47214,48558
08/05/2009,Mall A,Center,1357,87014,29860,5154,45990
08/05/2009,Mall B,North,1330,77186,46144,30685,57861
08/05/2009,Mall C,South,552,90451,68464,7216,54968
09/05/2009,Mall A,Center,1212,50843,54358,28842,36143
09/05/2009,Mall B,North,539,20495,72727,8771,36279
09/05/2009,Mall C,South,1277,85517,48660,41774,50426
10/05/2009,Mall A,Center,576,133217,71305,49685,29962
10/05/2009,Mall B,North,1109,74811,72755,11845,35502
10/05/2009,Mall C,South,561,24325,70671,7395,17890
11/05/2009,Mall A,Center,504,53576,44472,9818,68078
11/05/2009,Mall B,North,586,145727,37271,5583,33457
11/05/2009,Mall C,South,1751,99792,67960,42532,55453
12/05/2009,Mall A,Center,577,58649,48386,42171,61588
12/05/2009,Mall B,North,1278,135465,29744,42738,31966
12/05/2009,Mall C,South,1392,105937,17079,31597,29283
13/05/2009,Mall A,Center,1575,82581,21402,46580,67456
13/05/2009,Mall B,North,1733,84504,11011,18024,55643
13/05/2009,Mall C,South,1467,49828,26325,30796,17804
14/05/2009,Mall A,Center,1807,122769,18791,19008,18290
14/05/2009,Mall B,North,1392,44328,21827,41354,30813
14/05/2009,Mall C,South,971,100490,64162,14914,51816
16/05/2009,Mall A,Center,1438,70902,63843,35328,68255
16/05/2009,Mall B,North,1288,21310,56586,40480,57664
16/05/2009,Mall C,South,505,79375,36974,47468,40756
17/05/2009,Mall A,Center,966,98067,75198,15249,17971
17/05/2009,Mall B,North,1680,84461,25009,11831,34866
17/05/2009,Mall C,South,1263,103494,19314,34826,36940
18/05/2009,Mall A,Center,652,28077,64874,35043,39087
18/05/2009,Mall B,North,679,129479,12709,38991,16499
18/05/2009,Mall C,South,734,96017,36777,23642,29193
19/05/2009,Mall A,Center,1897,115678,61924,33323,42423
19/05/2009,Mall B,North,1645,58493,48005,7986,29176
19/05/2009,Mall C,South,1413,47259,48413,5617,38006
20/05/2009,Mall A,Center,922,79106,42891,37580,35512
20/05/2009,Mall B,North,1707,70652,59922,35980,22655
20/05/2009,Mall C,South,1067,110883,22206,38527,16684
21/05/2009,Mall A,Center,1927,105016,32158,23665,66363
21/05/2009,Mall B,North,1650,48965,61593,9082,21974
21/05/2009,Mall C,South,1956,137075,55384,42337,46740
22/05/2009,Mall A,Center,1829,73381,40075,18640,55403
22/05/2009,Mall B,North,1974,39913,16420,34213,17748
22/05/2009,Mall C,South,1939,135873,61818,36401,16028
23/05/2009,Mall A,Center,700,42870,20529,22028,17517
23/05/2009,Mall B,North,1989,43241,24933,47445,57496
23/05/2009,Mall C,South,1834,30854,52349,7673,54570
24/05/2009,Mall A,Center,814,25119,49497,42824,56618
24/05/2009,Mall B,North,819,49252,36365,13295,14306
24/05/2009,Mall C,South,1269,94837,26871,49103,17597
25/05/2009,Mall A,Center,1889,50953,42154,21620,14319
25/05/2009,Mall B,North,933,148255,20791,44212,60937
25/05/2009,Mall C,South,813,133112,53208,47956,60229
26/05/2009,Mall A,Center,1973,83840,35639,28765,10528
26/05/2009,Mall B,North,1352,36293,11682,41389,36652
26/05/2009,Mall C,South,771,20827,68527,26053,69549
27/05/2009,Mall A,Center,973,113562,57122,19205,52339
27/05/2009,Mall B,North,1787,100830,23541,29916,28174
27/05/2009,Mall C,South,868,75894,74418,15843,63161
29/05/2009,Mall A,Center,722,25485,33367,28151,27184
29/05/2009,Mall B,North,785,32073,39110,43867,32338
29/05/2009,Mall C,South,1853,98014,62288,32306,15898
30/05/2009,Mall A,Center,643,37472,49861,9739,26798
30/05/2009,Mall B,North,750,124367,37921,38035,33486
30/05/2009,Mall C,South,774,106184,21969,15352,67855
31/05/2009,Mall A,Center,823,140323,24943,7760,41266
31/05/2009,Mall B,North,1007,54028,67763,40572,48878
31/05/2009,Mall C,South,800,72498,10523,30976,44012
01/06/2009,Mall A,Center,1635,148526,48337,39878,53695
01/06/2009,Mall B,North,853,97166,14543,20353,13693
01/06/2009,Mall C,South,1239,59180,66021,15012,51444
02/06/2009,Mall A,Center,1754,28493,17826,24527,15642
02/06/2009,Mall B,North,552,82318,75695,31993,37273
02/06/2009,Mall C,South,564,26378,10931,29067,29653
04/06/2009,Mall A,Center,1388,125498,79921,8040,37190
04/06/2009,Mall B,North,741,32250,79742,10068,14503
04/06/2009,Mall C,South,1650,53910,68872,35398,64637
05/06/2009,Mall A,Center,708,30908,16876,40814,36252
05/06/2009,Mall B,North,1750,95892,71465,11827,27425
05/06/2009,Mall C,South,1018,57762,16357,48436,10384
07/06/2009,Mall A,Center,645,45517,26065,39256,17268
07/06/2009,Mall B,North,1199,20499,38399,28369,58577
07/06/2009,Mall C,South,1707,85640,42872,15939,20495
08/06/2009,Mall A,Center,759,82612,55341,30556,54981
08/06/2009,Mall B,North,1995,33797,17732,36563,17089
08/06/2009,Mall C,South,1246,118491,59682,23270,23089
09/06/2009,Mall A,Center,1539,39849,19457,35372,61180
09/06/2009,Mall B,North,1497,111990,14073,27887,63163
09/06/2009,Mall C,South,702,116076,37458,18273,24168
10/06/2009,Mall A,Center,1813,139017,39710,16361,15218
10/06/2009,Mall B,North,925,123496,64004,6843,58041
10/06/2009,Mall C,South,1245,62183,36285,28707,10755
11/06/2009,Mall A,Center,1795,135890,73315,33710,36913
11/06/2009,Mall B,North,754,58663,42395,25818,57548
11/06/2009,Mall C,South,1362,39938,64296,28451,69884
12/06/2009,Mall A,Center,835,55318,63145,49254,51686
12/06/2009,Mall B,North,821,50400,47910,45524,42818
12/06/2009,Mall C,South,1047,37107,12194,19028,38907
13/06/2009,Mall A,Center,1273,129468,28685,11563,25316
13/06/2009,Mall B,North,1443,94187,41385,21936,46687
13/06/2009,Mall C,South,1489,96035,35323,32397,43314
14/06/2009,Mall A,Center,1915,104453,58453,17234,68995
14/06/2009,Mall B,North,915,56846,74845,7600,25134
14/06/2009,Mall C,South,936,64782,44604,11945,61810
15/06/2009,Mall A,Center,1991,139827,12098,48390,12037
15/06/2009,Mall B,North,1545,107176,56013,5538,34661
15/06/2009,Mall C,South,946,96406,60543,40713,33832
16/06/2009,Mall A,Center,1558,116621,25520,49569,19979
16/06/2009,Mall B,North,840,83108,29463,32952,50492
16/06/2009,Mall C,South,1132,77548,61236,13484,18904
17/06/2009,Mall A,Center,778,101675,25762,12556,32768
17/06/2009,Mall B,North,1282,35004,72755,8127,16902
17/06/2009,Mall C,South,1355,101109,25046,5742,51353
18/06/2009,Mall A,Center,603,67337,15111,20993,26136
18/06/2009,Mall B,North,1965,46970,13380,35394,68604
18/06/2009,Mall C,South,733,114278,79033,28611,47203
20/06/2009,Mall A,Center,509,59676,70738,36899,12670
20/06/2009,Mall B,North,1183,142003,22660,38845,61358
20/06/2009,Mall C,South,611,26454,60903,26347,31750
21/06/2009,Mall A,Center,1955,37946,73923,46286,61498
21/06/2009,Mall B,North,1011,138666,55141,32721,64315
21/06/2009,Mall C,South,654,67616,65226,15752,14913
22/06/2009,Mall A,Center,1856,75245,44706,46084,24731
22/06/2009,Mall B,North,1734,73387,51059,48171,58082
22/06/2009,Mall C,South,1854,96118,76561,23232,54196
23/06/2009,Mall A,Center,828,79200,78573,46069,60350
23/06/2009,Mall B,North,1141,146424,23278,15784,37096
23/06/2009,Mall C,South,1910,73027,61641,10176,31333
24/06/2009,Mall A,Center,1438,143691,44840,22137,61419
24/06/2009,Mall B,North,1553,91896,46174,47477,46204
24/06/2009,Mall C,South,1362,104481,29892,37568,63302
26/06/2009,Mall A,Center,1538,44492,16409,6438,32661
26/06/2009,Mall B,North,589,67660,42372,34393,22760
26/06/2009,Mall C,South,940,84374,26429,42784,15769
27/06/2009,Mall A,Center,1937,32643,52983,19330,18837
27/06/2009,Mall B,North,1181,32119,65284,13906,58235
27/06/2009,Mall C,South,1128,82423,61745,37987,13157
28/06/2009,Mall A,Center,578,61126,14738,31952,47924
28/06/2009,Mall B,North,1776,45757,64317,22625,33997
28/06/2009,Mall C,South,726,128707,57891,20565,66668
29/06/2009,Mall A,Center,784,53105,60206,17425,55490
29/06/2009,Mall B,North,1664,135934,18007,5454,18015
29/06/2009,Mall C,South,1249,42233,27429,41035,67150
30/06/2009,Mall A,Center,1936,126573,31376,14368,28778
30/06/2009,Mall B,North,1435,49025,73758,27300,66795
30/06/2009,Mall C,South,1315,106259,35583,24519,62262
01/07/2009,Mall A,Center,761,57463,69018,47748,35435
01/07/2009,Mall B,North,618,29142,52174,10729,21303
01/07/2009,Mall C,South,893,147071,62270,35066,57171
02/07/2009,Mall A,Center,945,61524,16982,17633,62294
02/07/2009,Mall B,North,1803,122676,52790,38139,44986
02/07/2009,Mall C,South,1694,127352,61670,48583,31931
03/07/2009,Mall A,Center,910,126164,23778,22038,52391
03/07/2009,Mall B,North,737,132690,65066,16525,41611
03/07/2009,Mall C,South,1896,105750,35299,22622,61551
04/07/2009,Mall A,Center,678,145171,47714,32248,56071
04/07/2009,Mall B,North,574,120613,22992,17617,67431
04/07/2009,Mall C,South,1472,116879,25083,8069,23701
05/07/2009,Mall A,Center,1263,78781,34443,14259,17379
05/07/2009,Mall B,North,1920,123186,43109,6047,32354
05/07/2009,Mall C,South,1606,87561,35451,33390,24153
06/07/2009,Mall A,Center,1273,143590,53758,48027,23134
06/07/2009,Mall B,North,1796,76417,23660,21897,43726
06/07/2009,Mall C,South,603,102541,38945,40534,60160
07/07/2009,Mall A,Center,817,80276,15861,11336,22318
07/07/2009,Mall B,North,546,40608,48375,18268,37512
07/07/2009,Mall C,South,1538,53094,54062,46931,59656
09/07/2009,Mall A,Center,1831,110486,37079,45636,30482
09/07/2009,Mall B,North,1113,131677,61850,34207,62084
09/07/2009,Mall C,South,1018,53268,39926,33221,60770
10/07/2009,Mall A,Center,1203,65123,14882,31244,69201
10/07/2009,Mall B,North,530,90134,65396,10044,57838
10/07/2009,Mall C,South,518,80163,78656,29023,36412
11/07/2009,Mall A,Center,744,107476,34420,33861,58689
11/07/2009,Mall B,North,1638,105777,44714,18514,63038
11/07/2009,Mall C,South,712,107834,21053,38525,10531
12/07/2009,Mall A,Center,1180,66576,71054,44450,34726
12/07/2009,Mall B,North,1577,32191,46526,42665,23552
12/07/2009,Mall C,South,1587,115134,63939,29574,62494
13/07/2009,Mall A,Center,829,61625,58273,45241,33554
13/07/2009,Mall B,North,612,110739,37569,37900,27614
13/07/2009,Mall C,South,794,116328,10977,38708,13118
14/07/2009,Mall A,Center,1680,129972,49443,16751,33631
14/07/2009,Mall B,North,1404,37557,63297,43641,11046
14/07/2009,Mall C,South,658,78023,69837,46602,36969
15/07/2009,Mall A,Center,1534,22775,12814,20952,66405
15/07/2009,Mall B,North,1879,98360,25277,10955,27329
15/07/2009,Mall C,South,1879,85343,74206,17059,56128
16/07/2009,Mall A,Center,908,23967,24360,29387,62256
16/07/2009,Mall B,North,811,25060,62477,14378,38400
16/07/2009,Mall C,South,727,100615,52827,6588,33678
18/07/2009,Mall A,Center,775,29440,37527,14526,16951
18/07/2009,Mall B,North,1921,132341,17162,31939,20905
18/07/2009,Mall C,South,1502,44401,51529,26894,35510
19/07/2009,Mall A,Center,957,128840,43340,13233,56100
19/07/2009,Mall B,North,1450,96969,59823,6638,43297
19/07/2009,Mall C,South,1931,49283,39450,47590,39503
20/07/2009,Mall A,Center,603,50925,12167,27965,45780
20/07/2009,Mall B,North,575,92584,66597,40024,17975
20/07/2009,Mall C,South,659,102295,75294,7130,10798
21/07/2009,Mall A,Center,1488,23080,59572,25731,31564
21/07/2009,Mall B,North,715,104550,49243,30182,51663
21/07/2009,Mall C,South,1775,41726,25095,24068,34781
22/07/2009,Mall A,Center,610,51283,36240,43816,63260
22/07/2009,Mall B,North,1970,122562,25362,15573,49417
22/07/2009,Mall C,South,1294,106719,57410,7465,61582
23/07/2009,Mall A,Center,1391,36270,62323,13793,56300
23/07/2009,Mall B,North,1218,103664,43995,49163,39456
23/07/2009,Mall C,South,589,111387,57851,36855,22250
24/07/2009,Mall A,Center,1641,140686,18646,38855,40031
24/07/2009,Mall B,North,812,84179,28354,36930,60647
24/07/2009,Mall C,South,1263,105986,77443,17488,37748
25/07/2009,Mall A,Center,1861,112019,46337,43055,30002
25/07/2009,Mall B,North,1845,99337,28558,25343,56204
25/07/2009,Mall C,South,1308,36896,36715,15172,37348
26/07/2009,Mall A,Center,677,49047,21579,38459,54239
26/07/2009,Mall B,North,622,75602,69730,26669,59115
26/07/2009,Mall C,South,841,97619,75917,6567,24956
27/07/2009,Mall A,Center,1072,146231,72069,13975,22982
27/07/2009,Mall B,North,1121,82913,28311,18916,16501
27/07/2009,Mall C,South,1251,103581,44477,11645,56749
28/07/2009,Mall A,Center,1737,116823,18456,44999,47308
28/07/2009,Mall B,North,1588,40906,78777,33170,49980
28/07/2009,Mall C,South,1420,20700,66668,31201,14626
29/07/2009,Mall A,Center,1160,87157,56440,21357,48112
29/07/2009,Mall B,North,1647,132645,68150,25047,10372
29/07/2009,Mall C,South,534,147039,73295,11641,30783
30/07/2009,Mall A,Center,912,34313,49962,45460,47165
30/07/2009,Mall B,North,1780,104046,11985,39418,22762
30/07/2009,Mall C,South,1877,21424,52073,6883,32930
31/07/2009,Mall A,Center,622,54171,54430,22120,19894
31/07/2009,Mall B,North,902,96228,42452,34700,42124
31/07/2009,Mall C,South,1445,42653,46199,32571,56498
01/08/2009,Mall A,Center,1832,113012,19387,13380,30328
01/08/2009,Mall B,North,838,108328,45405,45885,11467
01/08/2009,Mall C,South,662,140658,39596,13508,40238
02/08/2009,Mall A,Center,1836,57141,73168,5040,35488
02/08/2009,Mall B,North,1627,107340,74128,23058,39389
02/08/2009,Mall C,South,1402,75244,78936,34006,18886
03/08/2009,Mall A,Center,1262,26996,35707,48193,11033
03/08/2009,Mall B,North,1341,139392,40878,34579,40010
03/08/2009,Mall C,South,1985,24725,63857,40488,32031
04/08/2009,Mall A,Center,979,74278,79318,21041,60015
04/08/2009,Mall B,North,691,94028,68924,44647,62422
04/08/2009,Mall C,South,1363,80346,60463,42951,17325
05/08/2009,Mall A,Center,1598,36325,14860,7035,23342
05/08/2009,Mall B,North,1763,66630,19546,19868,54305
05/08/2009,Mall C,South,1660,63661,41399,23744,43409
06/08/2009,Mall A,Center,1242,53422,20258,47499,53687
06/08/2009,Mall B,North,1482,117353,54300,41669,20356
06/08/2009,Mall C,South,1837,109270,14848,37141,47409
07/08/2009,Mall A,Center,1404,23611,40114,22926,29104
07/08/2009,Mall B,North,907,55776,42274,24577,21747
07/08/2009,Mall C,South,1843,64900,20887,35272,14113
08/08/2009,Mall A,Center,1812,127006,57464,18020,56058
08/08/2009,Mall B,North,1777,71660,62552,27744,58619
08/08/2009,Mall C,South,1230,74126,56815,27578,19415
09/08/2009,Mall A,Center,1381,36155,28913,19465,55892
09/08/2009,Mall B,North,1875,106380,44262,15545,58521
09/08/2009,Mall C,South,520,134578,48343,21778,56188
10/08/2009,Mall A,Center,901,58635,45654,37353,21472
10/08/2009,Mall B,North,916,148195,62354,8327,21760
10/08/2009,Mall C,South,596,83299,63602,19961,38009
11/08/2009,Mall A,Center,1817,111229,76558,49871,18979
11/08/2009,Mall B,North,1228,111634,56670,10599,46230
11/08/2009,Mall C,South,964,136842,26789,29903,65205
12/08/2009,Mall A,Center,1302,113500,56631,14933,31909
12/08/2009,Mall B,North,1888,127646,47519,25560,51448
12/08/2009,Mall C,South,803,22293,20748,41107,23055
13/08/2009,Mall A,Center,1218,70694,23207,12942,59203
13/08/2009,Mall B,North,751,68482,28490,25422,43069
13/08/2009,Mall C,South,1952,83222,66450,41487,36970
14/08/2009,Mall A,Center,1118,91021,28878,43221,39920
14/08/2009,Mall B,North,1362,140504,38766,6100,30631
14/08/2009,Mall C,South,1621,23668,40136,22106,12620
